distributor_id,distributor,location_id
1,Hand-Conn,127
2,Pollich Inc,283
3,"Stroman, Hamill and Grimes",458
4,Heathcote LLC,85
5,Keebler and Sons,542
6,Goyette Inc,71
7,Osinski Inc,162
8,"Donnelly, Crist and Daniel",137
9,Schmitt-Trantow,391
10,Doyle Inc,2
11,"Rau, Ondricka and Maggio",269
12,Lubowitz and Sons,28
13,Stoltenberg LLC,44
14,"Hilll, Klein and Doyle",437
15,"Konopelski, Pfannerstill and Heller",498
16,Farrell Inc,2
17,"Stamm, Kutch and Schoen",467
18,Lang-Feil,364
19,"Hoeger, Barrows and Lakin",181
20,Sawayn-Hettinger,54
21,McClure Group,158
22,Jacobs Group,444
23,Daugherty-Haley,459
24,Hettinger-Feeney,204
25,"Hand, Paucek and Wisoky",86
26,"Kshlerin, Dickinson and Steuber",279
27,Padberg-Gutkowski,521
28,"McGlynn, Miller and Windler",156
29,Cummings-Ward,169
30,"O'Conner, Terry and Franecki",555
31,"Ondricka, Borer and Carter",37
32,"Collier, Reynolds and Moen",31
33,Green-Gulgowski,500
34,Schimmel-Williamson,314
35,King LLC,453
36,"Deckow, Sanford and Raynor",427
37,Crist LLC,134
38,Marquardt-McKenzie,27
39,Bruen and Sons,114
40,Botsford-Carroll,1
41,Wolf and Sons,433
42,Hills LLC,495
43,Jenkins LLC,446
44,Larson Inc,68
45,Konopelski-Borer,67
46,Daniel-Welch,401
47,Runolfsdottir-Abernathy,94
48,Mayer Group,285
49,Rippin-Gusikowski,443
50,"Collins, Abbott and Tromp",531
51,Klein-Waelchi,89
52,Sanford and Sons,515
53,Goyette and Sons,528
54,Robel and Sons,163
55,"Rice, Considine and Lehner",135
56,Mosciski and Sons,414
57,Christiansen LLC,346
58,Grant Inc,512
59,"Ryan, Lowe and Howell",36
60,"Rempel, Vandervort and Willms",334
61,Cremin-Ward,229
62,Harber-Auer,508
63,Hayes-Corkery,35
64,Cremin-Luettgen,91
65,Reichert-Boyle,163
66,Koelpin-Aufderhar,50
67,Wisoky-Jaskolski,489
68,Greenfelder-Hilll,456
69,Mann Inc,197
70,"Kozey, Price and Bashirian",467
71,King-Hessel,376
72,"Brown, West and Kuphal",509
73,"Schmeler, Cremin and Mayert",483
74,Kemmer-Lakin,197
75,Bechtelar and Sons,348
76,Christiansen and Sons,91
77,Rippin-Schowalter,543
78,Crooks-Durgan,429
79,King-Lemke,50
80,Kemmer-Wehner,317
81,Huel Group,454
82,"Cremin, Osinski and Block",498
83,Schroeder and Sons,517
84,Grimes and Sons,189
85,Smitham LLC,264
86,Hansen Group,354
87,Haag LLC,45
88,Ernser-Willms,155
89,DuBuque-Stiedemann,521
90,Borer-Ratke,56
91,Jast Inc,61
92,Altenwerth LLC,429
93,"Stracke, Rolfson and O'Hara",213
94,Flatley Group,325
95,Rowe Inc,383
96,Hegmann and Sons,5
97,Olson-Rosenbaum,400
98,"Waters, Nienow and Schiller",429
99,"Berge, Legros and Murphy",214
100,Cruickshank-Rath,353
101,Hahn LLC,90
102,Predovic-Feeney,146
103,Labadie-Sanford,49
104,Stark-Ankunding,139
105,Jenkins-Williamson,353
106,"Hudson, Muller and Mills",442
107,Bradtke-Nienow,66
108,Blick-Leuschke,96
109,Brekke and Sons,57
110,West LLC,345
111,Gibson LLC,224
112,Halvorson-Fay,227
113,"Hamill, Runte and Jacobson",462
114,"Howe, Shanahan and Johnson",221
115,"Balistreri, Wisoky and Cartwright",494
116,Kuvalis LLC,350
117,Schamberger-Larkin,490
118,"Jacobson, Runolfsdottir and Lang",319
119,Carroll Group,396
120,Keeling-Brakus,226
121,Schroeder-Nitzsche,208
122,"Ferry, Miller and Pagac",337
123,Kihn-Hauck,541
124,Willms-Turcotte,53
125,Fritsch and Sons,154
126,Simonis Inc,21
127,"Erdman, Mayert and Abbott",375
128,Braun LLC,78
129,"Nicolas, Paucek and Barrows",275
130,"Little, Luettgen and Mosciski",406
131,Herzog and Sons,470
132,Runolfsson Group,537
133,Thiel Group,146
134,Ondricka Group,369
135,"Thiel, Koepp and Block",190
136,DuBuque-Nolan,141
137,"Witting, White and Wintheiser",412
138,"Herman, Schuppe and Schmidt",446
139,"Wintheiser, Swaniawski and Bogisich",281
140,Gottlieb Inc,481
141,"Herzog, Krajcik and Feil",155
142,Sporer-Sauer,386
143,DuBuque LLC,395
144,"Rempel, Donnelly and Harvey",231
145,"Corkery, Daugherty and Sauer",401
146,Kling-Lueilwitz,96
147,Murphy LLC,32
148,Hyatt-Krajcik,298
149,Larson-Bergstrom,58
150,Hyatt-Streich,258
151,"Bosco, Kirlin and Zemlak",516
152,Rogahn Group,108
153,Welch and Sons,3
154,Roob LLC,87
155,Zieme Inc,391
156,Hartmann Inc,492
157,Prohaska-Flatley,426
158,Hauck-Metz,499
159,"Mraz, Bergstrom and Stracke",92
160,Emard Inc,179
161,Maggio-Prohaska,409
162,"Lueilwitz, Waelchi and Kuhlman",561
163,"Beatty, Borer and Okuneva",189
164,Kuvalis Group,330
165,Grady LLC,320
166,Herzog-Friesen,75
167,Hartmann-Osinski,220
168,Raynor-Pouros,247
169,Quitzon-Beatty,516
170,Rohan-Bartell,357
171,"Hackett, Cormier and Fisher",283
172,Larson LLC,294
173,"Boyle, Pagac and Hermann",288
174,Reilly-Greenfelder,442
175,Legros Group,169
176,"Weissnat, Steuber and Bogan",347
177,"Legros, Rolfson and Lind",204
178,Cronin and Sons,538
179,Witting-Gleichner,432
180,Friesen and Sons,507
181,Hirthe LLC,516
182,Greenholt and Sons,96
183,Medhurst and Sons,442
184,Ernser-Bernier,415
185,Steuber-Zemlak,48
186,"Homenick, Hagenes and Corkery",421
187,Erdman-Schulist,283
188,Mraz and Sons,188
189,Wisoky Inc,513
190,Kuphal LLC,377
191,Monahan and Sons,491
192,"Schoen, Koelpin and Stamm",384
193,Swaniawski-Ullrich,289
194,Barton-Hammes,376
195,Ferry Inc,498
196,Wunsch LLC,298
197,Torp-Smitham,506
198,Zieme-Becker,277
199,Lowe and Sons,143
200,"Jast, Hudson and Moen",498
201,"VonRueden, Weimann and Hettinger",435
202,Fadel-Kovacek,372
203,"Langworth, Gutmann and Kihn",441
204,"Prohaska, Hirthe and Zboncak",532
205,"Steuber, Senger and Beatty",495
206,Hilpert-Borer,426
207,"Hoeger, Reichel and Beier",341
208,Pollich LLC,218
209,Bashirian-Rau,217
210,O'Connell-Hermiston,176
211,Konopelski-Roob,407
212,McGlynn-Collins,245
213,Schimmel Inc,379
214,Lind LLC,143
215,Greenholt LLC,135
216,Smith Inc,220
217,Stroman Inc,240
218,Kub Inc,501
219,Runte and Sons,363
220,"Beatty, Torp and Gusikowski",384
221,"Miller, Johnston and Gutkowski",283
222,"Konopelski, Collins and Rosenbaum",549
223,Hauck-Mayer,474
224,Hintz and Sons,122
225,"Reynolds, Gleichner and Skiles",532
226,"Weissnat, Cummerata and Kuphal",559
227,"Jakubowski, Zboncak and Rodriguez",31
228,Will Group,297
229,"Baumbach, Champlin and O'Connell",348
230,"Barton, Reynolds and Ziemann",124
231,"Gibson, Gerhold and Bode",371
232,"Blanda, Ondricka and Becker",109
233,"Zemlak, Jakubowski and Gleason",15
234,"Koepp, Hessel and Runolfsson",42
235,Koelpin and Sons,126
236,Wolff-Schowalter,513
237,Wiza-Johnson,337
238,Willms and Sons,56
239,Kling LLC,425
240,"Moore, Hagenes and Berge",218
241,"Koch, Lang and Mertz",286
242,"Cummerata, Veum and King",438
243,Emmerich-Fay,74
244,Osinski Group,140
245,Towne LLC,171
246,Windler LLC,444
247,Bernier Inc,525
248,Aufderhar-Runolfsdottir,399
249,"Weber, Moen and Lockman",210
250,"Bradtke, Brekke and Dach",151
251,"Pollich, Cummings and Renner",224
252,"Cummerata, Kiehn and Predovic",257
253,"Daugherty, Wilderman and Hackett",118
254,Lindgren and Sons,366
255,"Nitzsche, Farrell and Kunze",46
256,Erdman Inc,424
257,Wyman-Von,555
258,"Becker, Dare and Cassin",414
259,"Tromp, Koelpin and O'Keefe",285
260,Douglas Group,15
261,Luettgen Inc,31
262,Reichert-Robel,11
263,"Murazik, Kilback and Wisoky",483
264,Koch-Swaniawski,467
265,"Haag, Fahey and Schultz",494
266,"Jast, Waelchi and Cruickshank",186
267,Parisian LLC,173
268,Jakubowski LLC,299
269,"Bernier, Dickens and Deckow",59
270,"Hodkiewicz, Stehr and Mitchell",279
271,Toy and Sons,414
272,Larson-Kub,152
273,Jacobs Inc,131
274,Bailey Group,315
275,Zulauf-Mitchell,533
276,Harvey-Anderson,88
277,"Hane, Altenwerth and Wilkinson",393
278,Harvey Inc,403
279,"Little, Quitzon and Frami",527
280,"Witting, Block and Langworth",508
281,Becker and Sons,87
282,Heaney Inc,29
283,Wiegand-Sauer,288
284,Pagac-Heidenreich,274
285,Schinner Group,290
286,"Bauch, Jakubowski and Jakubowski",346
287,"Bergstrom, Mann and Ernser",40
288,Considine-Denesik,556
289,"Baumbach, Spinka and Fadel",146
290,Considine-Sipes,177
291,"Legros, Carroll and Thompson",441
